"","nobs","nsim","cr1w","cr1u","sel.cri","lm","heck.noinst","heck.inst"
"278",1100,70,0,0,0,-0.264565107740784,-0.0414342641838571,-0.0441666128294577
"279",3000,70,0,0,0,-0.249295011381716,-0.0245274373824729,-0.0406537188161756
"280",8200,70,0,0,0,-0.187895151989754,0.00395325751287934,-0.00241180046060963
"281",500,71,0,0,0,-0.185643125460919,-0.171379451627449,-0.0980105019678628
"282",1100,71,0,0,0,-0.163871286988002,-0.0202031473913372,0.0272174193911852
"283",3000,71,0,0,0,-0.181494506849199,0.061580944836626,-0.00280055322168138
"284",8200,71,0,0,0,-0.18340715574769,0.0153164845659837,0.0103556142734671
"285",500,72,0,0,0,-0.318567691286678,-0.424134373781338,-0.186965188401718
"286",1100,72,0,0,0,-0.0812492042893823,0.179000169187837,0.0980089126047023
"287",3000,72,0,0,0,-0.173895460606125,-0.00997176260817756,-0.0088929557051346
"288",8200,72,0,0,0,-0.184213910260697,0.04491456108683,-0.00374131167818981
"289",500,73,0,0,0,-0.12910526200515,-0.142426549660029,-0.0232863653680957
"290",1100,73,0,0,0,-0.222913815544041,-0.147603276958024,-0.0231004712832314
"291",3000,73,0,0,0,-0.175131678244994,0.0334984714962221,0.0123025183444447
"292",8200,73,0,0,0,-0.175589781018962,0.0430470845342223,0.0220726293312243
"293",500,74,0,0,0,-0.309096442628394,-0.136990962562816,-0.150035530990396
"294",1100,74,0,0,0,-0.22454874289774,-0.00208036322013383,-0.00230551465916451
"295",3000,74,0,0,0,-0.191024448296896,-0.0411288571709272,-0.04472340897639
"296",8200,74,0,0,0,-0.161761275050652,0.0658280508794356,0.0420816380558149
"297",500,75,0,0,0,-0.128870281864638,-0.381281335699082,-0.00519308810546215
"298",1100,75,0,0,0,-0.142952374120051,-0.20273412076921,0.0716464627489746
"299",3000,75,0,0,0,-0.194876202962013,-0.0281318855057479,-0.000857864018295351
"300",8200,75,0,0,0,-0.179985081905862,0.0333849352883699,0.0132514981541256
"301",500,76,0,0,0,-0.214427809294663,-0.279202161814603,-0.0153167876237074
"302",1100,76,0,0,0,-0.196975662975765,0.0535390485893663,-0.0195732085844351
"303",3000,76,0,0,0,-0.151004342155615,0.0408975141720622,0.0464921068975706
"304",8200,76,0,0,0,-0.174676950235479,0.029593606817641,-0.000556415964639623
"305",500,77,0,0,0,-0.195354774103845,-0.249002416794166,-0.000569336576621171
"306",1100,77,0,0,0,-0.202552272998786,-0.33359616113541,0.0127971002459286
"307",3000,77,0,0,0,-0.205167893943872,0.0284249352929791,-0.00297547319141156
"308",8200,77,0,0,0,-0.173304908711426,-0.0096861548523699,0.0178175020074645
"309",500,78,0,0,0,-0.225122001963705,-0.00302543534089972,-0.035341654853222
"310",1100,78,0,0,0,-0.15586101775456,-0.134374575360119,0.0580760517519689
"311",3000,78,0,0,0,-0.133906587864306,0.0896405842736085,0.052371289424844
"312",8200,78,0,0,0,-0.185774873368781,-0.0385413914539532,-0.0018618805067605
"313",500,79,0,0,0,-0.154231451351238,0.105683709683676,-0.0106665994565548
"314",1100,79,0,0,0,-0.186079963844119,0.0731082646926509,-0.0267026752699688
"315",3000,79,0,0,0,-0.209498015267411,-0.384291480784002,-0.0159281458700177
"316",8200,79,0,0,0,-0.169684089745183,-0.0226655705766199,-0.00401780048467171
"317",500,80,0,0,0,-0.180470187778032,-0.034164585524077,-0.0228400276267299
"318",1100,80,0,0,0,-0.188586458384668,-0.0445054313080067,-0.00762529758239294
"319",3000,80,0,0,0,-0.164892574282877,0.0295147633098756,0.0169840228149758
